Title,Text,TextSource,Mode,Melody,MelodySources_OCO,MelodySource_Verona,gabc,GB_ID,Occasion,Office
Constituit eum,Constituit eum * Dominum domus suæ. ℣ Et principem omnis possessionis suæ.,"Ps 104,21",6,f g f f gh h g f gh gf g g f,AM 843,Calithes.it,"(c4)Con(f)stí(g)tu(f)it(f) e(gh)um(h) <v>\greheightstar</v>(;) Dó(g)mi(f)num(gh) do(gf)mus(g) su(g)æ.(f)  <sp>V/</sp>(::) Et(h) prín(ixhi>)ci(g)pem(g) (,) om(h>)nis(g) pos(g)ses(g)si(g)ó(g)nis(f) su(gh)æ.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,19/3,L
Constituit eum... all. soll.,Constituit eum dominum domus suæ * Alleluia alleluia. ℣ Et principem omnis possessionis suæ.,,6,f f f f g f f f f f e g h h hg g f d fg g f,AM 843,"Antiphonae & Responsoria/Tomus V, p. 268","(c4)Con(f)stí(f)tu(f)it(f) e(g)um(f) (,) do(f)mi(f)num(f) do(f)mus(e) su(g)æ,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(f) prín(g)ci(f)pem(f) (,) om(f)nis(f) pos(f)ses(f)si(f)ó(f)nis(e) su(g)æ.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,19/3 TP,L
Constituit eum... all. simpl.,Constituit eum dominum domus suæ * Alleluia alleluia. ℣ Et principem omnis possessionis suæ.,"Ps 104,21",6,f f f f g f f f f f e g h h hg g f d fg g f,AM 874,"Antiphonae & Responsoria/Tomus V, p. 268","(c4)Con(f)stí(f)tu(f)it(f) e(g)um(f) (,) do(f)mi(f)num(f) do(f)mus(e) su(g)æ,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(f) prín(g)ci(f)pem(f) (,) om(f)nis(f) pos(f)ses(f)si(f)ó(f)nis(e) su(g)æ.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,1/5,L
Crastina die,Crastina die * Delebitur iniquitas terræ. ℣ Et regnabit super nos Salvator mundi.,,6,f f f gh hg f gh g f g fd f g g f,CAO 6345; AR 226,"Antiphonae & Responsoria/Tomus I, p. 75","(c4)Crá(f)sti(f)na(f) di(gh)e(hg) <v>\greheightstar</v>(;) De(f)lé(gh)bi(g)tur(f) in(g)í(fd)qui(f)tas(g) ter(g)ræ.(f)  <sp>V/</sp>(::) Et(h) re(h)gná(ixhi)bit(g) su(gh)per(g) nos(g) (,) Sal(g)vá(h)tor(gf) mun(gh)di.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Adv 24/12,L
Custodi nos Domine,Custodi nos Domine * Ut pupillam oculi. ℣ Sub umbra alarum tuarum protege nos.,"Ps 16,8",6,f g f f g gh hg f gh gf g g f f,cf. CAO 6385; PM 331,"Antiphonae & Responsoria/Tomus III, p. 130","(c4)Cu(f)stó(g)di(f) nos,(f) Dó(g)mi(gh)ne,(hg) <v>\greheightstar</v>(;) Ut(f) pu(gh)píl(gf)lam(g) ó(g)cu(f)li.(f)  <sp>V/</sp>(::) Sub(f) um(f)bra(f) a(f)lá(f)rum(f) tu(f)á(g)rum(f) (,) pró(f)te(f)ge(gh) nos.(hg)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H4,V
Debuit per omnia,Debuit per omnia fratribus similari * Ut misericors fieret. ℣ In terris visus est et cum hominibus conversatus est.,"Hebr 2,17; Bar 3,38",6,f f f f g f f f f fg g gf g gh f gh g fd fg g f f,ARII 67,"Antiphonae & Responsoria/Tomus I, p. 94","(c4)Dé(f)bu(f)it(f) per(f) óm(g)ni(f)a(f) (,) frá(f)tri(f)bus(fg) si(g)mi(gf)lá(g)ri,(gh) <v>\greheightstar</v>(;) Ut(f) mi(gh)sé(g)ri(fd)cors(fg) fí(g)e(f)ret.(f)  <sp>V/</sp>(::) In(h) ter(h)ris(h) vi(ixhi)sus(g) est,(g) (,) et(g) cum(g) ho(g)mí(h)ni(g)bus(g) con(g)ver(g)sá(gf)tus(g) est.(gh)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Fam,2V
Deus meus adiutor,Deus meus adiutor meus * Et sperabo in eum. ℣ Refugium meum et liberator meus.,"Ps 17,3",6,f f g f f f f gh hg f gh g f g g f,PM 141,"Antiphonæ & Responsoria/Tomus III, p. 123","(c4)De(f)us(f) me(g)us,(f) ad(f)iú(f)tor(f) me(gh)us,(hg) <v>\greheightstar</v>(;) Et(f) spe(gh)rá(g)bo(f) in(g) e(g)um.(f)  <sp>V/</sp>(::) Re(f)fú(f)gi(f)um(f) me(g)um(f) (,) et(f) li(f)be(f)rá(f)tor(f) me(gh)us.(hg)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,1.3H3,L
Deus omnipotens,Deus omnipotens * Præcinxit me virtute. ℣ Et posuit immaculatam viam meam.,"Ps 17,33",6,f f f g gh h g f gh gf g g f,AM 765,Calithes.it,"(c4)De(f)us(f) om(f)ní(g)po(gh)tens(h) <v>\greheightstar</v>(;) Præ(g)cín(f)xit(gh) me(gf) vir(g)tú(g)te.(f)  <sp>V/</sp>(::) Et(h) pó(ixhi)su(h)it(h) im(h)ma(h)cu(g)lá(gh)tam(g) (,) vi(g)am(f) me(gh)am.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,8/12,L
Dirigatur Domine,Dirigatur Domine * Ad te oratio mea. ℣ Sicut incensum in conspectu tuo.,"Ps 140,2",6,f f g f g gh h g f gh g f g g f,CAO 6458; PM 337,"Antiphonae & Responsoria/Tomus III, p. 128","(c4)Di(f)ri(f)gá(g)tur,(f) Dó(g)mi(gh)ne,(h) <v>\greheightstar</v>(;) Ad(g) te(f) o(gh)rá(g)ti(f)o(g) me(g)a.(f)  <sp>V/</sp>(::) Si(f)cut(f) in(f)cén(g)sum(f) in(f) con(f)spé(f)ctu(f) tu(gh)o.(hg)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H2,V
Domine Deus,Domine Deus * Audi clamorem populi. ℣ Et aperi eis fontem aquæ vivæ.,,6,fg g gf g gh f g h gfd fg g f f,ARII 111,"Antiphonae & Responsoria/Tomus I, p. 146","(c4)Dó(fg)mi(g)ne(gf) De(g)us,(gh) <v>\greheightstar</v>(;) Au(f)di(g) cla(h)mó(gvFD)rem(fg) pó(g)pu(f)li.(f)  <sp>V/</sp>(::) Et(h) a(ixhi)pé(g)ri(f) e(gh)is(g) (`) fon(g)tem(g) a(g)quæ(gf) vi(g)væ.(gh)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Bapt,1V
