Title,Text,TextSource,Mode,Melody,MelodySources_OCO,MelodySource_Verona,gabc,GB_ID,Occasion,Office
Elegit eam... all.,Elegit eam Deus et præelegit eam * Alleluia alleluia. ℣ In tabernaculo suo habitare facit eam.,,6,f f f f f g f f f f f e g h h hg g f d fg g f,,,"(c4)E(f)lé(f)git(f) e(f)am(f) De(g)us,(f) (,) et(f) præ(f)e(f)lé(f)git(e) e(g)am,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) In(d) ta(f)ber(f)ná(f)cu(f)lo(f) su(g)o(f) (,) ha(f)bi(f)tá(f)re(f) fa(f)cit(e) e(g)am(h::) .<sp>V/</sp>() Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,BMV TP,L
,Elegit eam Deus et præelegit eam * Alleluia alleluia. ℣ In tabernaculo suo habitare facit eam.,,6,f f f f f g f f f f f e g h h hg g f d fg g f,,,"(c4)E(f)lé(f)git(f) e(f)am(f) De(g)us,(f) (,) et(f) præ(f)e(f)lé(f)git(e) e(g)am,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) In(d) ta(f)ber(f)ná(f)cu(f)lo(f) su(g)o(f) (,) ha(f)bi(f)tá(f)re(f) fa(f)cit(e) e(g)am(h::) .<sp>V/</sp>() Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Mul TP,2V
Exaltabo te V/ Convertisti,Exaltabo te Domine * Quoniam suscepisti me. ℣ Convertisti planctum meum in gaudium mihi.,"Ps 29,2.12",6,f f g f f g gh h g f gh gf g g f f,,Calithes.it,"(c4)Ex(f)al(f)tá(g)bo(f) te,(f) Dó(g)mi(gh)ne,(h) <v>\greheightstar</v>(;) Quó(g)ni(f)am(gh) su(gf)sce(g)pí(g)sti(f) me.(f)  <sp>V/</sp>(::) Con(h)ver(h)tí(ixhi)sti(h) plan(h)ctum(g) me(gh)um(g) (,) in(g) gáu(h)di(g)um(f) mi(gh)hi.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Def,L
Exaltabo te V/ Nec delectasti,Exaltabo te Domine * Quoniam suscepisti me. ℣ Nec delectasti inimicos meos super me.,"Ps 29,2",6,f f g fe dc f fgd ifghih j ii ih gh ifghihgf g ghf f,ARII 684,"Antiphonae & Responsoria/Tomus V, p. 284","(c4)Ex(f)al(f)tá(g)bo(fe) te,(dc) Dó(f)mi(fgd)ne,(ixfgw!hih) <v>\greheightstar</v>(;) Quó(j)ni(ixi>)am(ih) su(gh)sce(ixfg!hwiHGF)pí(g)sti(ghf) me.(f)  <sp>V/</sp>(::) Nec(f) de(f)le(f)ctá(gh)sti(f) in(f)i(f)mí(g)cos(f) me(fe)os(dc) su(f)per(fgd) me.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,8/12,1V
Exaltabo te... all.,Exaltabo te Domine quoniam suscepisti me * Alleluia alleluia. ℣ Convertisti planctum meum in gaudium mihi.,,6,f f f f f g f f f f f f e g g h h hg g f d fg g f,,,"(c4)Ex(f)al(f)tá(f)bo(f) te,(f) Dó(g)mi(f)ne,(f) (,) quó(f)ni(f)am(f) su(f)sce(e)pí(g)sti(g) me,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Con(d)ver(f)tí(f)sti(f) plan(f)ctum(f) me(g)um(f) (,) in(f) gáu(f)di(f)um(e) mi(g)hi.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Def TP,L
Exsultabo,Exsultabo et lætabor * In misericordia tua. ℣ Quoniam respexisti humilitatem meam.,"Ps 30,8",6,f f g f f f gh h g f g h gf f g g f,,,"(c4)Ex(f)sul(f)tá(g)bo(f) et(f) læ(f)tá(gh)bor(h) <v>\greheightstar</v>(;) In(g) mi(f)se(g)ri(h)cór(gf)di(f)a(g) tu(g)a.(f)  <sp>V/</sp>(::) Quó(ixhi)ni(h)am(h) re(h)spe(h)xí(gh)sti(g) (,) hu(g)mi(g)li(g)tá(g)tem(f) me(gh)am.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Mul,1V
Exsultabo... all.,Exsultabo et lætabor in misericordia tua * Alleluia alleluia. ℣ Quoniam respexisti humilitatem meam.,,6,f f f f f f g f f f f f f f e g h h hg g f d fg g f,,,"(c4)Ex(f)sul(f)tá(f)bo(f) et(f) læ(f)tá(g)bor(f) (,) in(f) mi(f)se(f)ri(f)cór(f)di(f)a(e) tu(g)a,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Quó(d)ni(f)am(f) re(f)spe(f)xí(g)sti(f) (,) hu(f)mi(f)li(f)tá(f)tem(e) me(g)am.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Mul TP,1V
Exsultabunt labia,Exsultabunt labia mea * Cum cantavero tibi. ℣ Lingua mea meditabitur iustitiam tuam.,"Ps 70,23.24",6,f f g f f f f gh hg f gh g f g g f,PM 259,"Antiphonae & Responsoria/Tomus III, p. 132","(c4)Ex(f)sul(f)tá(g)bunt(f) lá(f)bi(f)a(f) me(gh)a,(hg) <v>\greheightstar</v>(;) Cum(f) can(gh)tá(g)ve(f)ro(g) ti(g)bi.(f)  <sp>V/</sp>(::) Lin(f)gua(f) me(g)a(f) (,) me(f)di(f)tá(f)bi(f)tur(f) iu(f)stí(f)ti(f)am(f) tu(gh)am.(hg)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H7,L
Exsultate iusti,Exsultate iusti in Domino; * Rectos decet collaudatio. ℣ Cantate ei canticum novum.,"Ps 32,1.3",6,f f f f g f f g gh hg f gh g f f g g f f,PM 115,"Antiphonae & Responsoria/Tomus III, p. 128","(c4)Ex(f)sul(f)tá(f)te,(f) iu(g)sti,(f) in(f) Dó(g)mi(gh)no;(hg) <v>\greheightstar</v>(;) Re(f)ctos(gh) de(g)cet(f) col(f)lau(g)dá(g)ti(f)o.(f)  <sp>V/</sp>(::) Can(f)tá(f)te(f) e(g)i(f) (,) cán(f)ti(f)cum(f) no(gh)vum.(hg)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H2,L
Exsultent iusti soll.,Exsultent iusti * In conspectu Dei. ℣ Et delectentur in lætitia.,"Ps 67,4",6,f fe dc fgd ifghih j iih gh ifghihgf ghf f,CAO 6705; ARII 668,"Antiphonae & Responsoria/Tomus V, p. 282","(c4)Ex(f)súl(fe)tent(dc) iu(fgd)sti(ixfgw!hih) <v>\greheightstar</v>(;) In(j) con(ixih)spé(gh)ctu(ixfg!hwiHGF) De(ghf)i.(f)  <sp>V/</sp>(::) Et(f) de(g)le(f)ctén(gh~)tur(f) (,) in(fe~) læ(dc)tí(f)ti(fgd)a.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,1/11,1V
Exsultent iusti simpl,Exsultent iusti * In conspectu Dei. ℣ Et delectentur in lætitia.,"Ps 67,4",6,f g f gh hg f gh gf g g f,CAO 6705; AM 645,"Antiphonale Monasticum, p. 645","(c4)Ex(f)súl(g)tent(f) iu(gh)sti(hg) <v>\greheightstar</v>(;) In(f) con(gh)spé(gf)ctu(g) De(g)i.(f)  <sp>V/</sp>(::) Et(h) de(h)le(h)ctén(ixhi)tur(g) (,) in(g) læ(f)tí(g)ti(gh)a.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Vir Pl,L
Exsultent iusti... all.,Exsultent iusti in conspectu Dei. * Alleluia alleluia. ℣ Et delectentur in lætitia.,,6,f f f g f f f f e g h h hg g f d fg g f,,"Antiphonale Prataliense/Tomus II, p. 499","(c4)Ex(f)súl(f)tent(f) iu(g)sti(f) (,) in(f) con(f)spé(f)ctu(e) De(g)i.(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) de(f)le(f)ctén(g)tur(f) in(f) læ(e)tí(g)ti(g)a.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Vir Pl TP,L
Firmamentum est,Firmamentum est Dominus * Timentibus eum. ℣ Et testamentum ipsius ut manifestetur illis.,"Ps 24,14",6,f f g f f g gh hg f gh gf g g f,AV suppl. 123,,"(c4)Fir(f)ma(f)mén(g)tum(f) est(f) Dó(g)mi(gh)nus(hg) <v>\greheightstar</v>(;) Ti(f)mén(gh)ti(gf)bus(g) e(g)um.(f)  <sp>V/</sp>(::) Et(h) te(h)sta(h)mén(ixhi)tum(h) i(g)psí(gh)us(g) (,) ut(g) ma(g)ni(g)fe(g)sté(g)tur(f) il(gh)lis.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Vir Pl,1V
Firmamentum est... all.,Firmamentum est Dominus timentibus eum * Alleluia alleluia. ℣ Et testamentum ipsius ut manifestetur illis.,,6,f f f f f g f f f f f e g h h hg g f d fg g f,AV suppl. 124,,"(c4)Fir(f)ma(f)mén(f)tum(f) est(f) Dó(g)mi(f)nus(f) (,) ti(f)men(f)ti(f)bus(e) e(g)um,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) te(f)sta(f)mén(f)tum(f) i(f)psí(g)us(f) (,) ut(f) ma(f)ni(f)fe(f)sté(f)tur(e) il(g)lis.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Vir Pl TP,1V
Fortitudo mea,Fortitudo mea * Et laus mea Dominus. ℣ Et factus est mihi in salutem.,"Ps 117,14",6,f f g f gh hg f gh gf g g f f,,,"(c4)For(f)ti(f)tú(g)do(f) me(gh)a(hg) <v>\greheightstar</v>(;) Et(f) laus(gh) me(gf)a(g) Dó(g)mi(f)nus.(f)  <sp>V/</sp>(::) Et(h) fa(ixhi)ctus(h) est(h) mi(gh)hi(g) in(g) sa(f)lú(gh)tem.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,UnM,L
Fulgebunt iusti,Fulgebunt iusti sicut sol in conspectu Dei * Alleluia alleluia. ℣ Et lætabuntur omnes recti corde.,"<sp>R/</sp>.: Mt 13,43 ; <sp>V/</sp>: Ps 31,11",6,f f f f f f f g f f f e g h h hg g f d fg g f,,,"(c4)Ful(f)gé(f)bunt(f) iu(f)sti(f) si(f)cut(f) sol(g) (,) in(f) con(f)spé(f)ctu(e) De(g)i,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) læ(f)ta(f)bún(g)tur(f) (,) om(f)nes(f) re(f)cti(e) cor(g)de.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,PlM TP UnM TP,2V
Gavisi sunt,Gavisi sunt discipuli * Alleluia alleluia. ℣ Viso Domino.,"Io 20,20",6,f f f f e g g h h hg g f d fg g f,CAO 6767; AR 34,"Antiphonae & Responsoria/Tomus II, p. 164","(c4)Ga(f)ví(f)si(f) sunt(f) di(e)scí(g)pu(g)li,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Vi(f)so(e) Dó(g)mi(g)no.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(g>)cto.(f) (::)",0,P2-6 usque Asc,V
Germinavit radix,Germinavit radix Iesse * Orta est stella ex Iacob. ℣ Virgo peperit Salvatorem.,"<sp>R/</sp>: cf. Is 11,1; Num 24,17",6,f f g f fe dc fgd ifghih j ii iih gh ifghihgf g ghf f,ARII 534,"Antiphonae & Responsoria/Tomus V, p. 263","(c4)Ger(f)mi(f)ná(g)vit(f) ra(fe)dix(dc) Ies(fgd)se,(ixfgw!hih) <v>\greheightstar</v>(;) Or(j)ta(ixi) est(ixih) stel(gh)la(ixfg!hwiHGF) ex(g) Ia(ghf)cob.(f)  <sp>V/</sp>(::) Vir(f)go(f) pé(g)pe(f)rit(f) Sal(fe)va(dc)tó(fgd)rem.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,25/3,1V
Germinavit radix... all.,Germinavit radix Iesse orta est stella ex Iacob * Alleluia alleluia. ℣ Virgo peperit Salvatorem.,,6,f f g f f f gh f g f f fe dc f fgd ifghih,ARII 535,"Antiphonae & Responsoria/Tomus V, p. 264","(c4)Ger(f)mi(f)ná(g)vit(f) ra(f)dix(f) Ies(gh)se,(f) (,) or(g)ta(f) est(f) stel(fe)la(dc) ex(f) Ia(fgd)cob,(ixfgw!hih) <v>\greheightstar</v>(::) Al(ixi>)le(ivHG)lú(gh)ia(f) (,) al(dc~)le(ixfg!hwiHGF)lú(ghf~)ia.(f)  <sp>V/</sp>(::) Vir(f)go(f) pé(g)pe(f)rit(f) Sal(fe)va(dc)tó(fgd)rem.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(g)tri(f) (,) et(f) Fí(gh)li(f)o(f) (;) et(f) Spi(f)rí(g)tu(fe)i(dc) San(fgd)cto.(ixfgw!hih) (::)",0,25/3 TP,1V
Gloria et honore... all.,Gloria et honore coronasti eum Domine * Alleluia alleluia. ℣ Et constituisti eum super opera manuum tuarum.,"Ps 8,6-7",6,f f f f f g f f f f f f e g g h h hg g f d fg g f,CAO 6775; AM 995,"Antiphonae & Responsoria/Tomus V, p. 274","(c4)Gló(f)ri(f)a(f) et(f) ho(f)nó(g)re(f) (,) co(f)ro(f)ná(f)sti(f) e(f)um,(e) Dó(g)mi(g)ne,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) con(f)sti(f)tu(f)í(f)sti(f) e(g)um(f) (,) su(f)per(f) ó(f)pe(f)ra(f) má(f)nu(f)um(f) tu(e)á(g)rum.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,6/8,L
Gloria et honore,Gloria et honore * Coronasti eum Domine. ℣ Et constituisti eum super opera manuum tuarum.,"Ps 8,6-7",6,f f f g f gh hg f g h g f g g f f,CAO 6774; AM 641,"Antiphonale Monasticum, p.641","(c4)Gló(f)ri(f)a(f) et(g) ho(f)nó(gh)re(hg) <v>\greheightstar</v>(;) Co(f)ro(g)ná(h)sti(g) e(f)um,(g) Dó(g)mi(f)ne.(f)  <sp>V/</sp>(::) Et(ixhi) con(h)sti(h)tu(h)í(h)sti(g) e(gh)um(g) (,) su(g)per(g) ó(g)pe(g)ra(g) má(h)nu(g)um(g) tu(f)á(gh)rum.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,UnM,1V
Gloriosus apparuisti,Gloriosus apparuisti in conspectu Domini * Alleluia alleluia. ℣ Propterea decorem induit te Dominus.,,6,f f f f f f f g f f f f e g g h h hg g f d fg g f,cf. CAO 6783; ARII 606,"Antiphonae & Responsoria/Tomus V, p. 273","(c4)Glo(f)ri(f)ó(f)sus(f) ap(f)pa(f)ru(f)í(g)sti(f) (,) in(f) con(f)spé(f)ctu(e) Dó(g)mi(g)ni,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Pro(d)ptér(f)e(f)a(f) de(f)có(g)rem(f) (,) ín(f)du(f)it(f) te(e) Dó(g)mi(g)nus.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,6/8,1V
Hæc dies,Hæc dies quam fecit Dominus: exsultemus et lætemur in ea.,"Ps 117,24",2*,hgihghfhj jjhghgh h gh j jkljjhgh jhj j jhijkjkljjkkj h hj jijkljijjikjkjh hjhghjjhjihjggf fg hgh jhj jkjh gh jhjk kjklkjljlmkjjhghijkjklklkljhijh,CAO 8414; ARII 204,"Antiphonae & Responsoria/Tomus II, p. 144","(c3)Hæc(gxfegvFEfdfoh) di(hsshvFEfef)es(f) (,) quam(ef) fe(hvv)cit(hssijhhvFEfv) Dó(hfh)mi(hsss)nus:(hfgwh/iv/h!ijh/h/iih) (:) ex(f)sul(-fh>)té(hg/h!i!jvHG/HHG/ih/ivHF)mus(fhFEfh/hf/hvvGFhe/ed;) et(de) læ(fef)té(hfhsss)mur(hiHF) (,) in(ef) e(hfhoi)a.(ih/ijIHjh/jkIH/hvFEfgwh/iv/h!i!jv/ijijHFgwhf) (::)",0,1P1-8,LV
Hæc dies simpl.,Hæc dies quam fecit Dominus: exsultemus et lætemur in ea alleluia.,"Ps 117,24",4,cdefecdef egff ef dg hi h gh fghgfef fe g gh hgh e f fg fgfgfed ed f gh hg g gdef egff fe,CAO 6797,"https://digi.vatlib.it/view/MSS_Vat.lat.14676, f. 119r","(c4)Hæc(cdwe!fo/e/cdwe!fo) di(egffo)es(ef) quam(dg) fe(hi)cit(h) Dó(gh)mi(f/ghgFEfo)nus:(fe) (;) ex(g)sul(gh)té(hgh)mus(e) et(f) læ(fg)té(fgfgfvED)mur(ed) in(f) e(gh)a(hg) (,) al(g)le(gdewf)lu(egffo)ia.(fe) (::)",0,1P1-8,C
Hæc dies... all.,"Hæc dies quam fecit Dominus, alleluia: exsultemus et lætemur in ea, alleluia.","Ps 117,24",6,f f f f f e g g h f f d c f f f f f f f f e g h h hg g f,CAO 8414; ARII 204,"Antiphonae & Responsoria/Tomus II, p. 145","(c4)Hæc(f) di(f)es(f) quam(f) fe(f)cit(e) Dó(g)mi(g)nus,(h) (,) al(f)le(f)lú(d>)ia:(c) (;) ex(f)sul(f)té(f)mus(f) et(f) læ(f)té(f)mur(f) in(e) e(g)a,(h) (,) al(h)le(hg)lú(g>)ia.(f) (::)",0,1P1-8a,LV
Hic est fratrum,Hic est fratrum amator * Qui multum orat pro populo. ℣ Et animam suam tradidit pro fratribus suis.,"2 Mac 15,14; cf. 1 Io 3,16",6,f f g f f gh h g f g h g fg g f f,,"cf. Antiphonale Prataliense/Tomus II, p. 470","(c4)Hic(f) est(f) fra(g)trum(f) a(f)má(gh)tor,(h) <v>\greheightstar</v>(;) Qui(g) mul(f)tum(g) o(h)rat(g) pro(fg) pó(g)pu(f)lo.(f)  <sp>V/</sp>(::) Et(ixhi) á(h)ni(h)mam(h) su(h)am(g) trá(gh)di(g)dit(g) (,) pro(g) frá(g)tri(g)bus(f) su(gh)is.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Past,2V
Hic est fratrum... all.,Hic est fratrum amator qui multum orat pro populo Alleluia alleluia. ℣ Et animam suam tradidit pro fratribus suis.,,6,f f f f f g f f f f f f e g g h h hg g f d fg g f,,"Antiphonale Prataliense/Tomus II, p.470","(c4)Hic(f) est(f) fra(f)trum(f) a(f)má(g)tor,(f) (,) qui(f) mul(f)tum(f) o(f)rat(f) pro(e) pó(g)pu(g)lo(h)  ,(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) á(f)ni(f)mam(f) su(f)am(f) trá(g)di(f)dit(f) (,) pro(f) frá(f)tri(f)bus(e) su(g)is.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Past TP,2V
Hic est qui venit,Hic est qui venit * Per aquam et sanguinem. ℣ Iesus Christus Dominus noster.,"1 Io 5,6",6,fg g gf g gh gh g fd fg g f f,ARII 117,"Antiphonae & Responsoria/Tomus I, p. 154","(c4)Hic(fg) est(g) qui(gf) ve(g)nit(gh) <v>\greheightstar</v>(;) Per(gh) a(g)quam(fd) et(fg) sán(g)gui(f)nem.(f)  <sp>V/</sp>(::) Ie(h)sus(h) Chri(ixhi)stus,(g) Dó(g)mi(g)nus(gf) no(g)ster.(gh)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Bapt,2V
Hoc signum,Hoc signum Crucis * Erit in cælo. ℣ Cum Dominus ad iudicandum venerit.,,6,f g f gh hg fh gf g g f,ARII 645,"Antiphonae & Responsoria/Tomus V, p. 278","(c4)Hoc(f) si(g)gnum(f) Cru(gh)cis(hg) <v>\greheightstar</v>(;) E(fh)rit(gf) in(g) cæ(g)lo.(f)  <sp>V/</sp>(::) Cum(h) Dó(ixhi)mi(g)nus(g) (,) ad(g) iu(g)di(g)cán(g)dum(f) vé(g)ne(gh)rit.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,14/9,1V
Hodie Maria Virgo,Hodie Maria Virgo * Ad cælos ascendit. ℣ Et in æternum cum Christo triumphat.,,6,f f f f g f gh hg fh g f g g f,,Calithes.it,"(c4)Hó(f)di(f)e(f) Ma(f)rí(g)a(f) Vir(gh)go(hg) <v>\greheightstar</v>(;) Ad(fh) cæ(g)los(f) a(g)scén(g)dit.(f)  <sp>V/</sp>(::) Et(h) in(h) æ(h)tér(ixhi>)num(g) cum(g) Chri(h)sto(g) tri(f)úm(gh)phat.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,15/8,L
Hodie scietis,Hodie scietis * Quia veniet Dominus. ℣ Et mane videbitis gloriam eius.,"cf. Ex 16,6-7",6,fg f fe dc fgd ifghih j iih gh f ifghihgf g ghf f,CAO 6865; ARII 51,"Antiphonae & Responsoria/Tomus I, p. 79","(c4)Hó(fg)di(f)e(fe) sci(dc)é(fgd)tis(ixfgw!hih) <v>\greheightstar</v>(;) Qui(j)a(ixih) vé(gh)ni(f)et(ixfg!hwiHGF) Dó(g)mi(ghf)nus.(f)  <sp>V/</sp>(::) Et(f) ma(g)ne(f) vi(f)dé(gh)bi(f)tis(f) (,) gló(g)ri(fe)am(dc) e(fgd)ius.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,N-25/12,1V
In æternum Domine,In æternum Domine * Permanet verbum tuum. ℣ In sæculum sæculi veritas tua.,"Ps 118,89.90",6,f f g f g gh h g f gh gf g g f,CAO 6889; AR 28,"Antiphonae & Responsoria/Tomus III, p. 123","(c4)In(f) æ(f)tér(g)num,(f) Dó(g)mi(gh)ne,(h) <v>\greheightstar</v>(;) Pér(g)ma(f)net(gh) ver(gf~)bum(g) tu(g)um.(f)  <sp>V/</sp>(::) In(f) sǽ(f)cu(f)lum(f) sǽ(g)cu(f)li(f) (,) vé(f)ri(f)tas(f) tu(gh)a.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,1.3H3,V
In conspectu angelorum,In conspectu angelorum * Psallam tibi Deus meus. ℣ Et confitebor nomini tuo.,"Ps 137,1.2",6,f f g f f f gh hg f g h g f g g f,cf. CAO 6893; cf. AM 1060,"Antiphonae & Responsoria/Tomus V, p. 281","(c4)In(f) con(f)spé(g)ctu(f) an(f)ge(f)ló(gh)rum(hg) <v>\greheightstar</v>(;) Psal(f)lam(g) ti(h)bi,(g) De(f)us(g) me(g)us.(f)  <sp>V/</sp>(::) Et(h) con(h)fi(h)té(ixhi)bor(g) (,) nó(h)mi(g)ni(f) tu(gh)o.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,2/10,L
