Title,Text,TextSource,Mode,Melody,MelodySources_OCO,gabc,GB_ID,Occasion,Variant,LHymPage
Iesum Christum Regem,Iesum Christum Regem regum venite adoremus.,,7,gji j kjklkl lk klml kj jkljji ghijghggf fh jklkjkl jji h hkji ghg g,LHym 124,"(c3)Ie(-ehg)sum(h) Chri(i_h_iwjij)stum,(j.i.) (,) Re(ijwk_j>_)gem(ih) re(h!ijhhg)gum,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,Reg,,124
Immaculatam Conceptionem,Immaculatam Conceptionem Virginis Mariæ celebremus: Christum eius filium adoremus Dominum.,,2,c cd d defd dc d dc d de d d fe fdedd cd defd dc d fe fgfe e g gh ihigh fe fg fed defdeddc f ed dggf ed efd cd d,LHym 476,"(f3)Im(e)ma(ef)cu(f)lá(f/ghf)tam(fe) Con(f)cep(fe)ti(f)ó(fg)nem(f'_) Vír(,f)gi(hg)nis(hfgff) Ma(ef)rí(f/ghf)æ(f_e) ce(f)le(hg)bré(h_iHG)mus:(g.) (;) Chri(i)stum(ij) e(kxj/kij>)ius(hg) fí(hi)li(hv_GF)um(f/ghf/gffe.) (,) ad(h)o(gf)ré(fiih)mus(gf) Dó(ghf)mi(ef)num.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,8/12,,476
Iubilemus Deo,Iubilemus Deo salutari nostro.,"Ps 94,1",6,f f fg f fgh ghg f gh gfd fg g f,LHym 179,"(c4)Iu(f)bi(f)lé(-fqg)mus(f) De(fgwh)o(-gh.g.) (,) sa(f)lu(gh)tá(gv_FD)ri(fg) no(g.)stro.(f.) (::) Ve(h)ní(g)te,(h) (::)",0,1-4H2,,179
Laudemus... Martini,Laudemus Deum nostrum in confessione beati Martini.,,2,cd d defddc d fe fgfe e g gh ihigh fefg fed defdeddc cd dggf ed efd cd d,LHym 465,"(f3)Lau(ef~)dé(f)mus(f/ghffe) De(f)um(hg~) no(h_iHG)strum(g.) (;) in(i) con(ij~)fes(kxj/kij)si(hg/hi)ó(hv_GF)ne(f/ghf/gffe.) (,) be(ef)á(fiih)ti(gf) Mar(ghf)tí(ef)ni.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,11/11,,465
Laudemus... doctoris gentium,Laudemus Deum nostrum in conversione Doctoris gentium.,,2,cd d defddc d fe fgfe e g gh ihigh fefg fed defdeddc cd dggf ed efd cd d,LHym 342,"(f3)Lau(ef~)dé(f)mus(f/ghffe) De(f)um(hg~) no(h_iHG)strum(g.) (;) in(i) con(ij~)ver(kxj/kij)si(hg/hi)ó(hv_GF)ne(f/ghf/gffe.) (,) Do(ef)ctó(fiih)ris(gf) gen(ghf)ti(ef)um.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,25/1,,342
Laudemus... Ioseph,Laudemus Deum nostrum in sollemnitate beati Ioseph.,,2,cd d defddc d fe fgfe e g gh ihigh fefg fed defdeddc cd dggf edefd cd d,LHym 357,"(f3)Lau(ef~)dé(f)mus(f/ghffe) De(f)um(hg~) no(h_iHG)strum(g.) (;) in(i) sol(ij)lem(kxj/kij>)ni(hg/hi)tá(hv_GF)te(f/ghf/gffe.) (,) be(ef)á(fiih)ti(gf/ghf) Io(ef)seph.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,19/3,,357
Maternitatem Virginis,Maternitatem Virginis Mariæ celebremus: Christum eius filium adoremus Dominum.,,2,c cd d defd dc d fe fdedd cd defd dc d fe fgfe e g gh ihigh fe fg fed defdeddc f ed dggf ed efd cd d,CAO 1107 [Nativitatem Virginis...]; LHym 33,"(f3)Ma(e)ter(ef)ni(f)tá(f/ghf)tem(f_e_) Vír(f)gi(hg)nis(hfgff) Ma(ef)rí(f/ghf)æ(f_e_) ce(f)le(hg)bré(h_iHG)mus:(g.) (;) Chri(i)stum(ij) e(kxj/kij>)ius(hg) fí(hi)li(hv_GF)um(f/ghf/gffe.) (,) ad(h)o(gf)ré(fiih)mus(gf) Dó(ghf)mi(ef)num.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,N-1/1,,33
Mirabilem in sanctis,Mirabilem in sanctis suis Dominum venite adoremus.,,4,c cdef e e e efg gf g gh gf de efe dh hi h hgf g gfe e,LHym 311,"(c4)Mi(c)rá(cdwefv)bi(e)lem(e) in(e) san(efg)ctis(gf) su(g)is(gh) Dó(gf)mi(de)num,(efe.) (;) ve(dh)ní(hi)te,(h) ad(hv_GF)o(g)ré(gv_FE)mus.(e.) (::) Ve(e)ní(g)te,(h) (::)",0,Vir Mul Rel,,311
- cum alleluia,Mirabilem in sanctis suis Dominum venite adoremus alleluia.,,6*,d ffg f f f f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 311,"(c4)Mi(d)rá(f_0fg)bi(f)lem(f') in(f) san(f)ctis(f) su(f)is(gh) Dó(h)mi(gf)num,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Vir Mul Rel TP,,311
Nativitatem Virginis,Nativitatem Virginis Mariæ celebremus: Christum eius filium adoremus Dominum.,,2,c cd d defd dc d fe fdedd cd defd dc d fe fgfe e g gh ihigh fe fg fed defdeddc f ed dggf ed efd cd d,LHym 428,"(f3)Na(e)ti(ef)vi(f)tá(f/ghf)tem(f_e_) Vír(f)gi(hg)nis(hfgff) Ma(ef)rí(f/ghf)æ(f_e_) ce(f)le(hg)bré(h_iHG)mus:(g.) (;) Chri(i)stum(ij) e(kxj/kij>)ius(hg) fí(hi)li(hv_GF)um(f/ghf/gffe.) (,) ad(h)o(gf)ré(fiih)mus(gf) Dó(ghf)mi(ef)num.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,8/9,,428
Panem vitæ,Panem vitæ Christum Dominum venite adoremus.,,7,gji j kjklkl lk klkj j jijk hg ghijghggf fh jklkjkl jji h hkji ghg g,LHym 113,"(c3)Pa(-ehg)nem(h) vi(i_h_iwjij)tæ(j.i.) (,) Chri(ijIH)stum(h) Dó(hg/hoi)mi(fe)num,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,Corp,,113
Populus Domini,Populus Domini et oves pascuæ eius venite adoremus eum.,"Ps 94,7.6",D,h g h j jk k k j k l k j k k lm l k l kj kl l k k,LHym 180,"(c3)Pó(f)pu(e)lus(f) Dó(h)mi(hi)ni(i'_) (,) et(i) o(h')ves(i) pás(j)cu(i)æ(h) e(i.)ius,(i.) (;) ve(jk)ní(j)te,(i') ad(j)o(ih)ré(ij)mus(j) e(i.)um.(i.) (::) Ve(i)ní(h)te,(i) (::)",0,1-4H7,,180
Prope est iam 1,Prope est iam Dominus: venite adoremus.,,4*,cdef e e fg ge f dedc cefg g gh hgf g gfe e,CAO 1120; LHym 10,"(c4)Pro(cdwefv)pe(e) est(e) iam(fg~) Dó(ge)mi(f)nus:(deD_C_) (;) ve([uh{]c_e!fw_g[uh}])ní(g)te,(g_h) ad(hvGF)o(g)ré(gv_FE)mus.(e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Adv post 17/12 H1,,10
Prope est iam 2,Prope est iam Dominus: venite adoremus.,,6,f f fg g gf g gh h gf gh ghgf fg g f,CAO 1120; LHym 10,"(c4)Pro(f)pe(f) est(fg) iam(g) Dó(gf)mi(g)nus:(g.h.) (;) ve(h)ní(gf)te,(gh) ad(g_h_G_F_)o(fg)ré(g.)mus.(f.) (::) Ve(h)ní(g)te,(h) (::)",0,Adv post 17/12 H2-7,,10
Regem angelorum,Regem angelorum Dominum venite adoremus.,,3,gh g g g gi j iih jhijihg ghigeef degh h jhijihg gge fg gefg fe,LHym 441,"(c3)Re(e_f>)gem(e) an(e)ge(e)ló(eg)rum(h) Dó(ggf)mi(h_f_gwh_G_FE)num,(e/fgeccod.) (;) ve(b/ceOf)ní(f)te,(h_f_gwh_G_FE.) ad(eec)o(de)ré(e_c_doe)mus.(d.c.) (::) Ve(ggoh)ní(fg)te,(gvFE) (::)",0,29/9 2/10,,441
Regem Apostolorum 1,Regem apostolorum Dominum venite adoremus.,,3,gh g g g g gi j iih jhijihg ghigeef degh h jhijihg gge fg gefg fe,LHym 266,"(c3)Re(e_f>)gem(e) a(e)po(e)sto(e)ló(eg)rum(h) Dó(ggf)mi(hfgwhGFE)num,(e/fgeccod.) (;) ve(b/ceOf)ní(f)te,(hfgwhGFE.) ad(eec)o(de)ré(e_c_doe)mus.(d.c.) (::) Ve(ggoh)ní(fg)te,(gvFE) (::)",0,Ap,,266
Regem Apostolorum 2,Regem apostolorum Dominum venite adoremus.,,4*,cdef e e e e e fg ge f dedc cefg g gh hgf g gfe e,LHym 266,"(c4)Re(cdwefv)gem(e) a(e)po(e)sto(e)ló(e)rum(fg~) Dó(ge)mi(f)num,(deD_C_) (;) ve([uh{]c_e!fw_g[uh}])ní(g)te,(g_h) ad(hvGF)o(g)ré(gv_FE)mus.(e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Ap,,266
- cum alleluia,Regem apostolorum Dominum venite adoremus alleluia.,,6*,ffg f f f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 266,"(c4)Re(f_0fg)gem(f') a(f)po(f)sto(f)ló(f)rum(gh) Dó(h)mi(gf)num,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Ap TP,,266
Regem cui omnia,Regem cui omnia vivunt venite adoremus.,,6,f f f f fg g gf g gh h gf gh ghgf fg g f,LHym 328,"(c4)Re(f)gem(f) cu(f)i(f) óm(fg)ni(g)a(gf) vi(g)vunt,(g.h.) (;) ve(h)ní(gf)te,(gh) ad(g_h_G_F_)o(fg)ré(g.)mus.(f.) (::) Ve(h)ní(g)te,(h) (::)",0,Def,,328
- cum alleluia,Regem cui omnia vivunt venite adoremus alleluia.,,6*,ffg f f f f f gh hgf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 328,"(c4)Re(f_fg)gem(f') cu(f)i(f) óm(f)ni(f)a(gh) vi(hv_GF)vunt,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(f!gwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,DefTP,,328
Regem magnum,Regem magnum Dominum venite adoremus.,"Ps 94,3",E,c de f ed e e fg g e f dc df fgfe e,LHym 179,"(f3)Re(e)gem(fg) ma(h)gnum(gf~) Dó(g)mi(g)num,(h.i.) (;) ve(i)ní(g)te,(h) ad(fe)o(fh)ré(hiHG)mus.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,1-4H3,,179
Regem martyrum 1,Regem martyrum Dominum venite adoremus.,,4*,cdef e e e fg ge f dedc cefg g gh hgf g gfe e,LHym 273,"(c4)Re(cdwefv)gem(e) már(e)ty(e)rum(fg~) Dó(ge)mi(f)num,(deD_C_) (;) ve(c_e!fw_g)ní(g)te,(g_h) ad(hvGF)o(g)ré(gv_FE)mus.(e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Mart soll. fest.,,273
Regem martyrum 2,Regem martyrum Dominum venite adoremus.,,E,c de e f ed e e fg g e f dc df fgfe e,LHym 273,"(f3)Re(e)gem(fg) már(g)ty(h)rum(gf) Dó(g)mi(g)num,(h.i.) (;) ve(i)ní(g)te,(h) ad(fe)o(fh)ré(hiHG)mus.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,Mart mem.,,273
Regem venturum 1,Regem venturum Dominum venite adoremus.,,5,h f hj j jh hjkjkj ijih hijigfghhg f ghgh hijijkj hhg gh hgfefgfg gf,CAO 1149; LHym 4,"(c3)Re(f)gem(d) ven(fh)tú(h)rum(h_f_) Dó(f_h/ihih)mi(g_hGF)num,(fgwh_GEdefvfe.) (:) ve(d)ní(-efef)te,(fgwhg/hih) ad(ffe)o(e_f)ré(fv_E_D_C_dwede)mus.(e.d.) (::) Ve(h)ní(h)te,(hi/hssfgf) (::)",0,Adv ante 17/12 H1,,4
Regem venturum 2,Regem venturum Dominum venite adoremus.,,6,f f f fg g gf g gh h gf gh ghgf fg g f,CAO 1149; LHym 4,"(c4)Re(f)gem(f) ven(f)tú(fg)rum(g) Dó(gf)mi(g)num,(g.h.) (;) ve(h)ní(gf)te,(gh) ad(g_h_G_F_)o(fg)ré(g.)mus.(f.) (::) Ve(h)ní(g)te,(h) (::)",0,Adv ante 17/12 H2-7,,4
Regem virginum 1,Regem virginum Dominum venite adoremus.,,5,h f hj j jh hjkjkj ijih hijigfghhg f ghgh hijijkj hhg gh hgfefgfg gf,LHym 305,"(c3)Re(f)gem(d) vír(fh~)gi(h)num(h_f_) Dó(f_h/ihih)mi(g_hGF)num,(fgwh_GEdefvfe.) (:) ve(d)ní(-efef)te,(fgwhg/hih) ad(ffe)o(e_f)ré(fv_E_D_C_dwede)mus.(e.d.) (::) Ve(h)ní(h)te,(hi/hssfgf) (::)",0,Virg soll. fest.,,305
Regem virginum 2,Regem virginum Dominum venite adoremus.,,E,c de e f ed e e fg g e f dc df fgfe e,LHym 305,"(f3)Re(e)gem(fg) vír(g)gi(h)num(gf) Dó(g)mi(g)num,(h.i.) (;) ve(i)ní(g)te,(h) ad(fe)o(fh)ré(hiHG)mus.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,Virg mem.,,305
- cum alleluia,Regem virginum Dominum venite adoremus alleluia.,,6*,ffg f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 305,"(c4)Re(f_0fg)gem(f') vír(f)gi(f)num(gh) Dó(h)mi(gf)num,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Virg TP,,305
Salvatorem mundi,Salvatorem mundi qui passioni suæ sociavit Matrem venite adoremus.,,4*,f de ef e e egfefeded d dfe fg g f fghgh hg g gh h gf efgfe fdefe c cdef ed dfe fg ghgfg fe,LHym 433,"(c4)Sal(f)va(de)tó(ef)rem(e) mun(e)di,(egF_E_fv_EDe_d_) (,) qui(d) pas(-dfe)si(fg)ó(g)ni(f) su(f!gwhgh)æ(h_g_) (,) so(g)ci(gh)á(h)vit(gf) Ma(efgvFE)trem,(fd/efe.) (:) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,15/9,,433
Summum regem,Summum Regem gloriæ venite adoremus.,,5,h f hj jh hjkjkj ijih hijigfghhg f ghgh hijijkj hhg gh hgfefgfg gf,LHym 408,"(c3)Sum(f)mum(d) Re(fh~)gem(h_f_) gló(f_h/ihih)ri(g_hGF)æ,(fgwh_GEdefvfe.) (:) ve(d)ní(-efef)te,(fgwhg/hih) ad(ffe)o(e_f)ré(fv_E_D_C_dwede)mus.(e.d.) (::) Ve(h)ní(h)te,(hi/hssfgf) (::)",0,6/8,,407
Surrexit Dominus,Surrexit Dominus vere alleluia.,"Lc 24,34",6*,d ffg f g fe f gh ihiggf fgh ghffed fghgh gf,CAO 1166; LHym 79,"(c4)Sur(d)ré(f_0fg)xit(f) Dó(g)mi(fe)nus(f) ve(g_h)re,(ixh_i/gg.f.) (;) al(f!gw!h>)le(ghffvED)lú(f!gwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,TP ante Asc,,79
Venite adoremus regem,Venite adoremus Regem regum cuius hodie ad æthereum Virgo Mater assumpta est cælum.,,4,c def e fe d ef gh gf de ef ed g gh hih ghgf ed c df fe de e ffe d dgh g gf gh gf de e e,LHym 415,"(c4)Ve(c)ní(dwefv)te,(e.) ad(fe)o(d)ré(e_f)mus(gh) Re(gf~)gem(de) re(e_f)gum,(e.d.) (;) cu(g)ius(gh) hó(hih)di(ghGF)e(e.d.) (;) ad(c) æ(df)thé(fe)re(de)um(e.) Vir(ffe)go(d) Ma(dghv)ter(g.) (,) as(gf)súm(gh>)pta(gf) est(de) cæ(e.)lum.(e.) (::) Ve(e)ní(g)te,(h::)",0,15/8,,415
Venite exsultemus,Venite exsultemus Domino.,"Ps 94,1",E,e edef efdeddc e f ge gf efe de e,LHym 179,"(f3)Ve(g)ní(g_f_gwh)te,(g_h_f_/g_f_fe.) (,) ex(g)sul(h)té(i_g_)mus(i_h_) Dó(g_h_g_)mi(fg)no.(g.) (::) Iu(f)bi(f)lé(f)mus(f) (::)",0,1-4H1,,179
Verbum caro,Verbum caro factum est: venite adoremus.,"Io 1,14",4*,cdef e e fg ge f dedc cefg g gh hgf g gfe e,LHym 360,"(c4)Ver(cdwefv)bum(e) ca(e)ro(fg) fa(ge)ctum(f) est:(deD_C_) (;) ve([uh{]c_e!fw_g[uh}])ní(g)te,(g_h) ad(hvGF)o(g)ré(gv_FE)mus.(e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,25/3,,360
- cum alleluia,Verbum caro factum est: venite adoremus alleluia.,,6*,ffg f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 361,"(c4)Ver(f_0fg)bum(f') ca(f)ro(gh) fa(h)ctum(gf) est:(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,25/3 TP,,361
Visitationem Virginis,Visitationem Virginis Mariæ celebremus: Christum eius filium adoremus Dominum.,,2,c c cd d defd dc d fe fdedd cd defd dc d fe fgfe e g gh ihigh fe fg fed defdeddc f ed dggf ed efd cd d,LHym 375,"(f3)Vi(e)si(e)ta(ef)ti(f)ó(f/ghf)nem(f_e_) Vír(f)gi(hg)nis(hfgff) Ma(ef)rí(f/ghf)æ(f_e) ce(f)le(hg)bré(h_iHG)mus:(g.) (;) Chri(i)stum(ij) e(kxj/kij>)ius(hg) fí(hi)li(hv_GF)um(f/ghf/gffe.) (,) ad(h)o(gf)ré(fiih)mus(gf) Dó(ghf)mi(ef)num.(f.) (::) Ve(f)ní(e)te,(f) (::)",0,31/5,,375
- cum alleluia,Regem martyrum Dominum venite adoremus alleluia.,,6*,ffg f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,"LH, editio typica altera, t. II, p. 1573","(c4)Re(f_0fg)gem(f') már(f)ty(f)rum(gh) Dó(h)mi(gf)num,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,PlM TP,,
