Title,Text,TextSource,Mode,Melody,MelodySources_OCO,gabc,GB_ID,Occasion,Variant,LHymPage
- cum alleluia,Christum Dominum qui dilexit Ecclesiam venite adoremus alleluia.,"cf. Eph 5,25",6*,ffg f fg f f f f f f gh h gf f f g fd f gh ihig gf fgh ghffed fghgh gf,LHym 249,"(c4)Chri(f_0fg)stum(f) Dó(fg)mi(f)num,(f') qui(f) di(f)lé(f)xit(f) Ec(gh)clé(h)si(gf)am,(f.) (,) ve(f)ní(g)te,(fd) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Ded TP,,249
Christum Dominum qui Sanctum,Christum Dominum qui Sanctum nobis promisit Spiritum venite adoremus alleluia.,,6*,ffg f fg f f f f f f f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 92,"(c4)Chri(f_0fg)stum(f) Dó(fg)mi(f)num,(f.) (,) qui(f) San(f)ctum(f) no(f)bis(f) pro(f)mí(f)sit(gh) Spí(h)ri(gf)tum,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(f!gwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Tp post Asc,,92
Christum Filium dilectum,Christum Filium dilectum in quo Pater sibi complacuit venite adoremus,"ef. Mt 3,17",7,ghijihi hg gh g g ghj jijkjkl k k kj klmlkl lk k ki j jijk hg ghijghggf fh jklkjkl jji h hkji ghg g,LHym 44,"(c3)Chri(e_f!gwhGFg)stum,(f_e_) (,) Fí(ef)li(e)um(e) di(efoh)lé(hvg!hihijv)ctum,(i.) (,) in(i) quo(ih) Pa(ijwkJIj)ter(j_i_) (,) si(i)bi(ig) com(h)plá(hg/hoi)cu(fe)it,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus,(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,Bapt,,44
Christum Mariæ,Christum Mariæ filium venite adoremus.,,5,h f hj j jh hjkjkj ijih hijigfghhg f ghgh hijijkj hhg gh hgfefgfg gf,LHym 254,"(c3)Chri(f)stum,(d) Ma(fh)rí(h)æ(h_f_) fí(f_h/ihih)li(g_hGF)um,(fgwh_GEdefvfe.) (:) ve(d)ní(-efef)te,(fgwhg/hih) ad(ffe)o(e_f)ré(fvEDCdwede)mus.(e.d.) (::) Ve(h)ní(h)te,(hi/hssfgf) (::)",0,BMV,,254
- cum alleluia,Christum Mariæ filium venite adoremus alleluia.,,6*,ffg f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 254,"(c4)Chri(f_0fg)stum,(f') Ma(f)rí(f)æ(gh) fí(h)li(gf)um,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,BMVTP,,255
Christum natum qui beatum,Christum natum qui beatum hodie coronavit Stephanum venite adoremus.,,4*,c dfd e efgfeefded dfe fg g gh hg fg g f ghg h gf gh gf efedd c cdef ed dfe fg ghgfg fe,LHym 478,"(c4)Chri(c)stum(-dfd~) ná(e)tum,(e/fgf/eeof/ded.) (,) qui(-dfe) be(fg)á(g)tum(gh) hó(hg)di(fg)e(g'_) co(f)ro(-ghg)ná(h)vit(gf) Sté(gh)pha(gf)num,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,26/12,,478
Christum natum qui innocentes,Christum natum qui Innocentes coronavit martyres venite adoremus.,,4*,c dfd e efgfeefded d dfe fg gh g f ghg h gf gh gf efedd c cdef ed dfe fg ghgfg fe,LHym 484,"(c4)Chri(c)stum(-dfd~) ná(e)tum,(e/fgf/eeof/ded.) (,) qui(d) In(-dfe)no(fg)cén(g_h)tes(g') co(f)ro(-ghg)ná(h)vit(gf) már(gh)ty(gf)res,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,28/12,,484
Christum pastorum,Christum pastorum principem venite adoremus.,,3,gh g g gi j iih jhijihg ghigeef degh h jhijihg gge fg gefg fe,LHym 289,"(c3)Chri(e_f)stum,(e) pa(e)stó(eg)rum(h) prín(ggf)ci(hfgwhGFE)pem,(e/fgeccod.) (;) ve(b/ceOf)ní(f)te,(hfgwhG_FE.) ad(eec)o(de)ré(e_c_doe)mus.(d.c.) (::) Ve(ggoh)ní(fg)te,(gvFE) (::)",0,Past,,289
- cum alleluia,Christum pastorum principem venite adoremus alleluia.,,6*,ffg f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 289,"(c4)Chri(f_0fg)stum,(f') pa(f)stó(f)rum(gh) prín(h)ci(gf)pem,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Past TP,,289
Christum regem pro nobis,Christum regem pro nobis in Cruce exaltatum venite adoremus.,,4*,c dfd e efgfeefded d d dfe fg gh g g f ghgf efedd c cdef ed dfe fg ghgfg fe,LHym 431,"(c4)Chri(c)stum(-dfd~) re(e)gem(e/fgf/eeof/ded.) (,) pro(d) no(d)bis(-dfe) in(fg) Cru(g_h)ce(g') e(g)xal(f)tá(ghGF)tum,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,14/9,,431
